title,description
Project Manager,"VanderHouwen has more jobs you may like! Find them here:http://bit.ly/1RIQfgE PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetworkJoining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you. SummaryOur client is looking for a Project Manager to join the team looking to expand services offered device wide. This project is in flight in the implement and roll out phase. They need someone who can hit the ground running and help carry this across the finish line.ResponsibilitiesDrive / Facilitate conversations.Schedule meetings.Clarify tools used for Project Management (MS Project, etc.)Take over presented tasks.QualificationsPMP preferred but not required.Familiarity with multiple device management.Recent Mobile Device experience required.Familiarity and adaptability to new and emerging technologies. mobile device"
Project Manager,"Do you want a chance to directly improve the customer experience for millions of customers a day?This position is a Product Manager in the Customer Experience team for Fulfillment by Amazon and Amazon Global Selling organization. Our vision is to transform global commerce by bringing selection from around the world to Customers anywhere in the world, with the same great customer experience Buyers expect from Amazon.In this role, you will set strategy and policy, build processes, and evangelize for technology solutions that allow third party Sellers from all over the world to bring hundreds of millions of new items to Amazon’s 11 Marketplaces worldwide. You will determine what experience these Sellers must offer our customers, create the incentives and enforcement mechanisms to achieve this experience, and frequently audit the results.Responsibilities for this position will include creation of programs that drive improvement in our key customer experience metrics, management of global programs and stakeholders, and driving alignment for new programs at high levels of the organization. This position will also have management responsibility for product managers, data analysts, and an operations team.From Jeff Bezos' annual letter to Amazon shareholders:To further globalize Marketplace, we’re now helping sellers in each of our geographies - and in countries where we don’t have a presence - reach out to our customers in countries outside their home geographies. We hosted merchants from more than 100 different countries last year, and helped them connect with customers in 185 nations. Almost one-fifth of our overall third-party sales now occur outside the sellers’ home countries, and our merchants’ cross-border sales nearly doubled last year. In the EU, sellers can open a single account, manage their business in multiple languages, and make products available across our five EU websites. More recently, we’ve started consolidating cross-border shipments for sellers and helping them obtain ocean shipping from Asia to Europe and North America at preferential, bulk rates.Fulfillment by Amazon (FBA) is an Amazon service for our third-party Sellers. The FBA team partners with Sellers and our Amazon Fulfillment Centers to create a seamless experience for Sellers to leverage our world-class facilities. 71% of our FBA Sellers report more than a 20% increase in unit sales after joining FBA. In a very real way, we are changing lives with the work we do. Our FBA employees wake up every day thinking about how to enable our Sellers to be successful on our platform. Enabling Seller success allows us to provide Amazon customers with unparalleled selection and pricing. FBA is a win for Sellers and a win for customers. Want to learn more about FBA?· Seller’s success stories: SellerSuccess· A free book of stories from small businesses/sellers, authors, and innovators that are thriving on Amazon: Transformations-ebook· BS or BA in computer science, engineering, math, finance, or economics· 3+ years of product management or finance experience in technology focused business· Excellent written and verbal communication skills· Superior analytical and problem-solving skills· MBA· 5+ years of product management experience· Prior experience managing technical products or online services· Proficient with web services, online technologies, virtualization, developer tools, and user interface design· Entrepreneurial spirit, with track record for delivering results in fast-moving and demanding environments· History of developing business strategy in conjunction with senior leadership Do you want a chance to directly improve the customer experience for millions of customers a day? This position is a Product Manager in the Customer Experience team for Fulfillment by Amazon and Amazon Global Selling organization. Our vision is to transform global commerce by bringing selection from around the world to Customers anywhere in the world, with the same great customer experience Buyers expect from Amazon. In this role, you will set strategy and policy, build processes, and evangelize for technology solutions that allow third party Sellers from all over the world to bring hundreds of millions of new items to Amazon's 11 Marketplaces worldwide. You will determine what experience these Sellers must offer our customers, create the incentives and enforcement mechanisms to achieve this experience, and frequently audit the results. Responsibilities for this position will include creation of programs that drive improvement in our key customer experience metrics, management of global programs and stakeholders, and driving alignment for new programs at high levels of the organization. This position will also have management responsibility for product managers, data analysts, and an operations team. From Jeff Bezos' annual letter to Amazon shareholders: ""To further globalize Marketplace, we're now helping sellers in each of our geographies - and in countries where we don't have a presence - reach out to our customers in countries outside their home geographies. We hosted merchants from more than 100 different countries last year, and helped them connect with customers in 185 nations. Almost one-fifth of our overall third-party sales now occur outside the sellers' home countries, and our merchants' cross-border sales nearly doubled last year. In the EU, sellers can open a single account, manage their business in multiple languages, and make products available across our five EU websites. More recently, we've started consolidating cross-border shipments for sellers and helping them obtain ocean shipping from Asia to Europe and North America at preferential, bulk rates."" Fulfillment by Amazon (FBA) is an Amazon service for our third-party Sellers. The FBA team partners with Sellers and our Amazon Fulfillment Centers to create a seamless experience for Sellers to leverage our world-class facilities. 71% of our FBA Sellers report more than a 20% increase in unit sales after joining FBA. In a very real way, we are changing lives with the work we do. Our FBA employees wake up every day thinking about how to enable our Sellers to be successful on our platform. Enabling Seller success allows us to provide Amazon customers with unparalleled selection and pricing. FBA is a win for Sellers and a win for customers. Want to learn more about FBA? ? Seller's success stories: SellerSuccess ? A free book of stories from small businesses/sellers, authors, and innovators that are thriving on Amazon: Transformations-ebook"
Project Manager,"We need a Project Coordinator person that can handle IT procurements (ordering supplies, sw, hw etc), Contracts/PR's entering & tracking and following up with internal teams and vendor contacts to fulfill them etc.Also exposure to IT budget tracking is preferred.  Project coordinator,procurement,budget"
Project Manager,"Quartz is the Firm's cross-asset, front-to-back platform for pricing, analytics, trade capture, and risk/P&L reconciliation. This platform is leveraged by Capital Market's Lines of Business (LOBs) to develop products for their business and regulatory objectives. You will:   * Work with component owners to align strategic roadmaps with overall risk and control framework * Work with control owners to streamline and enhance existing governance processes and frameworks * Enforce and enable compliance with firm-wide risk initiatives * Engage with LOB technology teams, regulatory and business stakeholders * Navigate and drive large scale risk initiatives with aggressive deadlines * Track and communicate project status across LOBs and other Quartz stakeholders * Solve complex dependencies and negotiate compromises Must have skills/talents:   * High energy level * Customer focused - ability to develop relationships quickly within Quartz and LOBs * Delivery oriented - ability to analyze a situation and provide responses in a concrete, confident manner * Analytical - know business and IT processes, can analyze data and summarize into action items * Leadership focused - a strong track record of managing expectations at the senior leadership level * Ownership - desire to own and the drive to accomplish positive technical and organizational results * Collaborative work well within a team ability to listen and contribute across teams and regions * Ability to parse complex technical topics and dependencies between them to help move large scale Quartz solutions forward * Experience with Project Management processes * Strong written documentation skills to support your assessments * Degree in engineering, computer science or technical disciplines preferred * Prior experience managing a large portfolio with multiple programs and resources (budget >$10MM) * Six sigma certification (Green or Black belt in DMAIC and/or DMADV) Hands-on development of project management tooling is highly desirable Princeton Information is one of the nation's top five privately-held IT consulting firms, in business since 1985. Princeton Information services a clientele of primarily Fortune 500 companies nationwide. With annual revenues over $120 million, Princeton Information operates across the US from multiple regional offices. Our Commitment to Our Consultants As a privately held company, Princeton Information is solely committed to the success of clients and consultants - not to any shareholders. PI's success is grounded in the relationships we build with our consultants. We seek the best people; provide career path counseling; as well as the most challenging opportunities in business and in IT. As part of its culture of loyalty and commitment to its consultants, Princeton Information is committed to doing all we can to ensure our consultants have the best possible search, placement and work experience possible. Our Services Working with one Princeton Recruiter will gain you access to over 500 open requirements with the top clients in the US across all industries (finance, insurance, pharmaceutical, commercial, telecom, media, manufacturing) nationwide. Our local recruiters have in-depth knowledge of our clients and opportunities. They will work with you to find you the best possible opportunities for you and your career. Our Relationships Our relationships with our clients, as well as our consultants, are critical to our success! We have a robust sales organization that ensures that Princeton has the inside track on what attributes a person needs in order to be successfully placed and engaged at our clients. We know the technical and non-technical skills that our clients are looking for and we ensure that you are educated about the client prior to your interview with them. Princeton is committed to going above and beyond to ensure that each meeting you have with a client is a successful one! Access, Analytical, Computer, Consulting, Development, Engineering, IT, Manager, Management, Project, Project Management, Project Manager, Telecom"
Project Manager,"Business Development Manager Founded in 1998, STI is a professional IT services firm providing permanent and contract IT professionals to both private and public sector customers nationwide. We treat our employees with respect and we are proud of the environment we have created over the years making STI a place where our employees thrive. Our philosophy is centered on quality, not quantity so, hiring the right team members is crucial. The primary role of the Business Development Manager is to prospect for and close new clients by networking, cold calling, advertising or other means of generating interest from potential clients. While we do not believe in matrix management, to succeed in this role you will need to be self-driven and comfortable with a lot of sales activity including heavy phone work, e-mail, networking and hunting for leads. What you'll be doing: * New business development generating staffing requirements to be filled by our internal technical recruiters. * Identify potential clients, and the decision makers within the client organization. * Identify, develop relationships and working closely with decision makers in IT, HR and Talent Acquisition to determine staffing needs and provide solutions. * Generating lead lists of prospective customers based on information from various sources including business directories, industry ads, trade shows, internet sites, social media and other sources. * In addition to hunting for new account opportunities, you will manage and penetrate a targeted quarterly prospect list through daily/weekly sales calls, in-person and social networking, competitive market and industry analysis, and client meetings. * Ensure contact and account data is accurately entered and managed within the company's CRM or other sales management system. * Actively forecast and manage a sales pipeline to ensure targets are met. * Work with internal recruiting team to manage full delivery cycle. What you bring to the table: * A BA / BS degree or the equivalent combination of education and work experience. * 2+ years' experience selling staffing solutions, IT services or projects to IT and HR leaders. * Self motivated, entrepreneurial attitude with the drive to succeed and the ability to handle several time sensitive deadlines simultaneously. * Excellent written and oral communication. * Ability to discover and understand prospects' needs and goals and then share industry specific solutions to achieving those goals. People need us to help solve problems not sell them something. * Integrity. * A desire to have a little fun. What we provide: * Competitive salary and generous commission structure (flat 10% on ""gross margin"" - paid from dollar one and uncapped), medical, dental and vision benefits, retirement plan. * Family friendly environment with great balance of life at work and life with family. * Personal cell phone * All-in-one, cloud based CRM / ATS / E-mail solution * Professional yet fun office setting in great location. * A positive environment, ongoing training and development and team events (usually involves barbeque or tacos!). What you need to do to be considered: 1. Submit your resume and a cover letter explaining why you think you are the best candidate. 2. Include a link (URL) to your LinkedIn profile. 3. List of the last 5 books you've read. If any of the items above are not included, please do not expect a call. Required Qualifications Analysis, CRM, Development, Development Manager, Manager, Management, Networking, Sales"
Project Manager,"Job Description:   * Report on progress of project or program (use of staff, dollar expenditures, progress on milestones) project stakeholders and senior/executive management. Facilitate bi-weekly portfolio review meeting with technical delegates for executive management review. * Identify, document and manage project risks and issues from inception through closure. Report on and assist in the resolution of portfolio level risks and issues as needed. * Efficiently and effectively manage and report all program and project status data up to senior management with absolute transparency on various activities through reports, technical reviews and meetings as required/identified. * With minimal supervision and limited direction, plan, manage, and execute multiple system retirement, IT system development projects and/or Strategic Initiatives. * Performs well in a fast-paced working environment. * Manage asset/application level documentation including financial resources for programs as well as projects and their releases to ensure compliance with Client project standards and guidelines. * Excellent communication, written and leadership skills required. * Strong analytical, critical thinking and problem solving skills. * Adept at conflict management and issue resolution. * Excellent organizational and written/verbal communication skills. * 6-8 years of related experience. * Bachelor Degree or Equivalent in Business or Computer Science required. What applications/systems will the contractor work on? * Treasury Accounting What is the ideal background or company you would like to see candidates from? * Technology, Software Development Organization What non-technical skills are you looking for? i.e. communication, writing, presentation? * Excellent communication, written and leadership skills required. * Strong analytical, critical thinking and problem solving skills. * Adept at conflict management and issue resolution. * Excellent organizational and written/verbal communication skills. Princeton Information is one of the nation's top five privately-held IT consulting firms, in business since 1985. Princeton Information services a clientele of primarily Fortune 500 companies nationwide. With annual revenues over $120 million, Princeton Information operates across the US from multiple regional offices. Our Commitment to Our Consultants As a privately held company, Princeton Information is solely committed to the success of clients and consultants - not to any shareholders. PI's success is grounded in the relationships we build with our consultants. We seek the best people; provide career path counseling; as well as the most challenging opportunities in business and in IT. As part of its culture of loyalty and commitment to its consultants, Princeton Information is committed to doing all we can to ensure our consultants have the best possible search, placement and work experience possible. Our Services Working with one Princeton Recruiter will gain you access to over 500 open requirements with the top clients in the US across all industries (finance, insurance, pharmaceutical, commercial, telecom, media, manufacturing) nationwide. Our local recruiters have in-depth knowledge of our clients and opportunities. They will work with you to find you the best possible opportunities for you and your career. Our Relationships Our relationships with our clients, as well as our consultants, are critical to our success! We have a robust sales organization that ensures that Princeton has the inside track on what attributes a person needs in order to be successfully placed and engaged at our clients. We know the technical and non-technical skills that our clients are looking for and we ensure that you are educated about the client prior to your interview with them. Princeton is committed to going above and beyond to ensure that each meeting you have with a client is a successful one! Access, Accounting, Analytical, Application, Applications, Computer, Consulting, Development, IT, Manager, Management, Project, Project Manager, Software, Supervision, System, Systems, Telecom"
Project Manager,"Job Opportunity: Job TitleStaff Matters is proud to have been recognized by Inc. Magazine on its Inc. 5000 list of fastest growing private companies in the USA. Staff Matters ranked as the fastest growing firm in Southern Arizona over a 3 year period. We ranked 26th among all industries statewide, and 35th in the USA among all HR services companies! Come find out what makes us so successful. Project ManagerWe are looking for candidates that have a positive attitude, are self-driven, would be considered as a top performer or all-star, have excellent customer service, leadership and communication skills, can successfully facilitate coordination between many different groups and has at least 7+ years managing major software development, system implementations and infrastructure projects. The individual will primarily manage infrastructure projects related to Physical Security Systems such as cameras and door locks however having also managed software development projects would be the ideal situation. This position will also require travel throughout the state of Arizona to different sub-stations. The individual must pass a background check and will be required to take CIP, Substation and Safety training. A college degree is required and a PMP certification is preferred. About Us:Staff Matters, Inc. is hired by many prominent employers to assist them in finding talented people. Our job openings are usually not advertised by our customers, which makes our company an excellent gateway to gain a position with the companies we support. At Staff Matters, our mission is to exemplify the stature of the recruiting and staffing industry in its importance in building organizations and changing peopleâ€™s lives for the betterment of our community. We build companies one talented person at a time, and to help people take meaningful steps in their careers, and we take our responsibility very seriously. The majority of the positions we have are NOT contract or temporary, but regular, full-time jobs. Please contact us if you or someone you know is looking for a new position and our recruiters will be in touch with you shortly. We cannot guarantee that we will have an open position that matches well with your background, but we will strive to be a valuable free resource to you during your job search. For additional tips and guidance on your career search, please check out our company website www.StaffMattersInc.com. Contract Independent, 1 year"
Project Manager,- 3+ years of experience as a PM- Must have some technical background (software/hardware)- No specific certifications needed- Needs to have some operational/support background of some kind. Perhaps they managed a team that was releasing a product to production and then had to support it there for a while.- Soft skills are very important - Must have outstanding communication skills; - Must have presentation skills - Must be independent - Key attribute of candidate is that they are technically inquisitive. - Should be relationship driven. Candidate should have exmples of where he/she built solid relationships in order to facilitate - Good problem solving skills - Must be able to multi-task and work on multiple issues/topics at the same time PROJECT MANAGER
Project Manager,"**Onsite interview required, only local candidates considered** Job descriptionWe are looking to fill an Infrastructure technical PM position who will manage infrastructurerelated projects (application decommissions, data center migrations, Linux kernel patching)and operational support. Primary Responsibilities:Managing projects around systems and data center build outs to include Networking,System Administration, Storage, DevOps, Security, etc.Responsible for building plans for Infrastructure related projects and coordinating thedependencies between multiple development teamsHeavily involved with setting up recurring status meetings, facilitating planning meetingsand daily standupsThis role involves anticipating issues and acting proactively to address potential issuesSpeaking to details of the project to both the leadership and technical teams from beginningto end of all projectsUtilizing organizational resources appropriatelyManaging cross-functional interdependenciesProviding risk management and issue / problem resolution as requiredMust have Strong interpersonal skills; demonstrable leadership skills, including the ability tomanage a remote / offshore team RequirementsPragmatic, personable with very clear and efficient communication styleStrong technology background (requirements, development, application management,maintenance, operations, migrations, upgrades, etc)Demonstrate proven Project Management skills and the ability to drive large, complexprojects in a multi-department portfolio, knowing when to escalate and seek guidance.Have strong communication, presentation and cost management skills.Professional experience working in multiple IT-related roles, including some type ofinfrastructure supportProfessional experience working with Infrastructure teamsProfessional experience working with multiple teamsProfessional experience working with large program implementations requiringInfrastructure deliverablesProfessional experience facilitating cross-functional team efforts Preferred Qualifications:Bachelors DegreeProficiency with Mac (MacOS, Keynote, Numbers, Pages), MS Office (Excel power user) Contract W2, 12 months"
Project Manager,"Immediate Product Manager opening in Irvine, CAThis is a full time direct hire opening with a cutting edge software company in Irvine!**We are working directly with the hiring manager - scheduling interviews immediately!Location: Irvine, CAFull Time!Salary: Competitive salary based on salary historyRequirements4+ years’ experience working as a Product ManagerExperience managing the development/integration of software is a huge plus!Full SDLC (Software Development Life Cycle) knowledge is a plusAgile methodology experience is preferred but not requiredExcellent communication and organizational skills - outgoing personality!Flexibility to travel is a plusBachelor’s Degree in Computer Science or similiar is preferred Full Time, Full Time"
