title,description
QA Engineer,"Responsible for design, development, application
and maintainance of test systems."
QA Engineer,"- Software quality assurance in accordance with developed requirements;
- Commitment to meeting deadline according to a plan;
- Keeping rules of team work on a project;
- Improving skills, learning new tools and testing technologies."
QA Engineer,"- Design, develop and maintain automated tests;
- Run tests and record test results;
- Identify, reproduce and report defects;
- Verify defect fixes;
- Create and maintain test plans from requirements and design
documents;
- Maintain other test documentation."
QA Engineer,"- Be responsible for planning, preparing, reporting of test processes as
well as organizing the process of test automation;
- Lead and direct the work of others, if necessary;
- Be responsible for installation tests of applications, automated
framework development for white-box analysis of sources and
configuration management;
- Participate in development of new test tools or enhancement of already
existing ones;
- Control the test activities;
- Report to the QA Manager and others."
QA Engineer,"- Be responsible for planning, preparing, reporting of test processes as
well as organizing the process of test automation;
- Lead and direct the work of others, if necessary;
- Be responsible for installation tests of applications, automated
framework development for white-box analysis of sources and
configuration management;
- Participate in development of new test tools or enhancement of already
existing ones;
- Control the test activities;
- Report to the QA Manager."
QA Engineer,"- Plan, prepare and report on test processes as well as organizing the
process of test automation;
- Handle the installation tests of applications, automated framework
development for white-box analysis of sources and configuration
management;
- Participate in development of new test tools or enhancement of already
existing ones; 
- Works under general supervision; 
- Control the test activities; 
- Reviews test cases and scripts for completeness and correctness."
QA Engineer,"- Install tests of applications, automated framework development for
white-box analysis of sources and configuration management;
- Participate in development of new test tools or enhancement of already
existing ones;
- Provide and update test time estimates, test coverage, risk analysis;
- Learn and apply automated testing tools to system components testing;
- Keep communication with project management, hold meetings;
- Work under general supervision;
- Control the test activities;
- Review test cases and scripts for completeness and correctness;
- Typically report to QA manager and higher."
QA Engineer,"- Participate in the design and implement the automated testing/CM
infrastructure;
- Develop auxiliary testing applications;
- Develop test plans and testability requirements;
- Develop automated regression tests;
- Test Windows and Unix applications."
QA Engineer,"- Design and implement a quality assurance solution plan;
- Keep track of all performed test case scenarios;
- Perform manual and automated testing of all front-end and back-end
aspects of developed software;
- Prepare reports of all performed tests on a regular basis;
- Troubleshoot program functionality issues and identify bugs;
- Follow up with employed programming solutions designed to resolve
discovered bugs Lead QA/Integrate;
- Regular interaction with software developers and team leaders."
QA Engineer,"- Design test cases;
- Perform manual and automated testing;
- Design and develop automated test scripts;
- Perform GUI, functionality, performance, load, compatibility and
usability tests of website; 
- Identify, reproduce and report bugs;
- Verify fixed defects and perform regression tests to ensure the
quality of software releases."
QA Engineer,"- Design and implement a quality assurance solution plan;
- Keep track of all performed test case scenarios;
- Perform manual and automated testing of all front-end and back-end
aspects of developed software;
- Prepare reports of all performed tests on a regular basis;
- Troubleshoot program functionality issues and identify bugs;
- Follow up with employed programming solutions designed to resolve
discovered bugs Lead QA/Integrate;
- Regular interaction with software developers and team leaders."
QA Engineer,"- Participate in development of new test tools or enhancement of already
existing ones;
- Work under general supervision;
- Control the test activities;
- Review test cases and scripts for completeness and correctness;
- Typically report to a QA Manager and higher;
- Provide and update test time estimates, testing coverage, risk
analysis;
- Learn and apply automated testing tools to system components testing;
- Keep communication with project management, hold meetings."
QA Engineer,"- Generate necessary team documentation;
- Serve as a strong contributing technical member of the team;
- Design test cases;
- Perform manual and automated testing;
- Design and develop automated test scripts;
- Perform functional, performance, load, compatibility and usability
tests of the website;
- Identify, reproduce and report bugs;
- Verify fixed defects and perform regression tests to ensure the
quality of software releases;
- Create all required test documentations."
QA Engineer,"- Generate necessary team documentation;
- Serve as a strong contributing technical member of the team;
- Design test cases;
- Perform manual and automated testing;
- Design and develop automated test scripts;
- Perform functional, performance, load, compatibility and usability
tests of the website;
- Identify, reproduce and report bugs;
- Verify fixed defects and perform regression tests to ensure the
quality of software releases;
- Create all required test documentations."
QA Engineer,"- Design, develop and implement comprehensive QA test plans and test
cases, tools and infrastructure for assigned areas of the
LookWhosClicking software;
- Run regression tests and perform both white and black box testing
against releases of the product; 
- Perform all aspects of verification, including functional, structural,
regression, load and system testing;
- Document, troubleshoot and isolate problems encountered during
testing;
- Design, develop and implement complex test automation both at the
functional and system level;
- Work with other members of the global engineering team to improve the
company's processes, tools, methods, effectiveness and efficiency."
QA Engineer,"- Develop and execute software test plans. Analyze and write test
standards and procedures; 
- Maintain documentation of test results to assist in debugging and
modification of software;
- Analyze test results to ensure existing functionality and recommend
corrective action;
- Follow standard practices and procedure in analyzing situations or
data from which answers can be readily obtained;
- Work on problems of limited scope."
QA Engineer,"- Design, develop and implement comprehensive QA test plans and test
cases, tools and infrastructure for assigned areas of the
LookWhosClicking software;
- Run regression tests and perform both white and black box testing
against releases of the Product;
- Perform all aspects of verification, including functional, structural,
regression, load and system testing;
- Document, troubleshoot and isolate problems encountered during
testing;
- Design, develop and implement complex test automation both at the
functional and system level;
- Work with other members of the global Engineering team to improve our
processes, tools, methods, effectiveness and efficiency."
QA Engineer,"- Design and implement unit test cases on existing code;
- Design and implement Java based/ Selenium automation suite for
regression/ functional testing;
- Work with Client Services to streamline bug processes;
- Manage and create tests for new features to ensure less than 1% bug
ratio on delivered projects;
- Re-architect existing QA framework to improve the company's  ability to
implement automation."
QA Engineer,"- Be responsible for support of software development, integration and
release, life cycle automation and configuration management;
- Defines, develop and implement quality assurance practices and
procedures, test plans and other QA assessments;
- Define scope and objectives of all levels of QA testing;
- Participate in all aspects of testing, including functional,
regression, load and system testing;
- Be responsible for the overall success of testing;
- Maintain software build environment;
- Be responsible for third party applications/ libraries build and
maintenance;
- Be responsible for final release compatibility testing."
QA Engineer,"- Perform manual and automated testing;
- Perform functional, performance, load, compatibility and usability
tests;
- Identify, reproduce and report bugs;
- Verify fixed defects and perform regression tests to ensure the quality
of software releases."
QA Engineer,"- Perform manual testing as well as generate automated regression and
unit test cases;
- Analyze functional requirements from QA perspective to find issues in
requirements in early stage of development;
- Be responsible for test plan/ test cases creation and maintenance
throughout the development lifecycle;
- Bug tracking (identify, reproduce and report bugs);
- Verify fixed defects and perform regression tests to ensure the quality
of releases;
- Regularly create test reports;
- Be responsible for close collaboration with other QA engineers,
Business Analysts and developers to identify, discuss and solve project
issues."
