title,description
Software Engineer,"- Rendering technical assistance to Database Management Systems;
- Realization of SQL servers maintenance activities: back-up and
replication;
- Participation in designing of software development projects."
Software Engineer,"Specific tasks and key responsibilities include
but are not limited to the following:
- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software;
- Perform implementations in a timely fashion;
- Perform quality assurance tasks, such as testing of the software
products."
Software Engineer,"Specific tasks and key responsibilities include
but are not limited to:
- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software;
- Perform implementations in a timely fashion;
- Perform quality assurance tasks, such as testing of the software
products."
Software Engineer,"We expect a successful candidate to be able to 
- design and develop software products,
- create programs for heterogeneous environments (MS Windows, Unix),
communicating by means of network protocols
- author and maintain internal and end-user documentation."
Software Engineer,"WEB sites creation, programming, organization and
maintenance.
PHP/MySQL Data base creation, programming and maintenance, School's WEB
sites administration and consultations.
Interactive on-line space creation, administration and maintenance, WEB
training and Consultation."
Software Engineer,"- Excellent knowledge of Object Oriented programming and design.
- Excellent knowledge of Java (JSP, Servlet, Swing, JDBC, RMI).
- 4+ years programming experience.
- Good knowledge of HTML, JavaScript, PHP, XML.
- Relational Databases (Oracle, SQL and MySQL) experience is preferable."
Software Engineer,"- Scripting, web programming, HTML coding 
- Designing website functionality
- Writing high quality code based on implementation specification
- Effective programming in UNIX/Linux environment
- Participating in web applications design and development and updating
the existing websites"
Software Engineer,"- Develop applications using Microsoft Visual Basic and C;
- Conduct on-going testing of own developed modules."
Software Engineer,"The successful candidate is required to have
strong knowledge of PHP, MySQL, HTML, Javascript, XML/XSL. Knowledge of
data structures, algorithms and database concepts is a plus. Perl
programming language knowledge is desirable. 
- Scripting, web programming, HTML coding; 
- Designing website functionality;
- Writing high quality code based on implementation specification;
- Effective programming in UNIX/Linux environment;
- Participating in web applications design and development and updating
the existing websites."
Software Engineer,"- Writing high quality code, scripting, web programming HTML coding. 
- Maintenance of web-site on a high level, providing necessary
professional advice advice."
Software Engineer,"- The successful candidate is required to have strong knowledge of PHP,
MySQL, HTML, Javascript, XML/XSL. Knowledge of data structures,
algorithms and database concepts is a plus. Perl programming language
knowledge is desirable;
- Scripting, web programming, HTML coding;
- Designing website functionality;
- Writing high quality code based on implementation    specification;
- Effective programming in UNIX/Linux environment;
- Participating in web applications design and   development and
updating the existing websites."
Software Engineer,"- To organize and manage technologically the staff of programmers;
- To cooperate cunstructively with the leaders of the company as well as
with the customers and other developers in planning the work and
activities of the organization;
- To test the production within the standards of the company;
- To realize technological and architechtural designing of the
production;
- To test and teach the newcommers, prepare promissing engeneers for the
company;
- To realize personally a part of a development process of the
production, and programming."
Software Engineer,"- Software development according to requirements;
- Complete work according to deadlines;
- Follow the team rules working on projects."
Software Engineer,"- Actively identify and implement tools, resources, new technologies and
innovations for the project;
- Work with designers, graphic artists and management in the development
of the project;
- Fast 3D graphics algorithms and mathematics; 
- Real-time, high performance code practices and optimization
techniques."
Software Engineer,"- Software development according to requirements;
- Complete work according to deadlines;
- Follow the team rules working on projects."
Software Engineer,"The incumbent will be responsible for:
- System integration;
- Architecture of database;
- Programming and linking of system integration."
Software Engineer,"- Development of Finance Specific software;
- Other relative tasks as necessary."
Software Engineer,Program code and DB structure development.
Software Engineer,"- Gather and produce requirements and designs.
- Write and test code for the required product;
- Accurately plan software development activities and follow established
processes;
- Share knowledge, mentor peers, listen and heas team members positions
and provide a fair evaluation of differing opinions;
- Work productively as part of a software development team;
- Communicate effectively with management and with team members;
- Keep commitments;
- Have a command of current technology;
- Actively participate in discussions regarding technical issues."
Software Engineer,"- Software development according to requirements;
- Complete work according to deadlines;
- Follow the team rules working on projects."
Software Engineer,"- Gather and produce requirements and designs.
- Write and test code for the required product;
- Accurately plan software development activities and follow established
processes;
- Share knowledge, mentor peers, listen and heas team members positions
and provide a fair evaluation of differing opinions;
- Work productively as part of a software development team;
- Communicate effectively with management and with team members;
- Keep commitments;
- Have a command of current technology;
- Actively participate in discussions regarding technical issues."
Software Engineer,"- Software development for IC design;
- Work on routine problems with some guidance from  senior level
managers and other engineers."
Software Engineer,"The Web Developer is responsible for writing
scripts and programs, generating interfaces, integration of flash pages
and maintaining our clients databases on daily basis."
Software Engineer,"- Software development for IC design;
- Work on routine problems with some guidance from  senior level
managers and other engineers."
Software Engineer,"- To produce high quality, well documented code, with low turnaround;
- Mentorship of intermediate-level Software Engineers."
Software Engineer,Development of front-end system for web sites.
Software Engineer,"- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software; 
- Perform the assigned tasks in the precise and timely manner; 
- Perform quality assurance tasks, such as testing of the software
products (developers testing);
- Document the software products that will be produced."
Software Engineer,"- Create programs of the bank;
- Service internal computer system of the bank;
- Create new modules for ABS (the automated bank system)."
Software Engineer,"- Software development for IC design;
- Work on routine problems with some guidance from  senior level
managers and other engineers."
Software Engineer,"- Lead and contribute to development of various parts of the tool
chain;
Position may entail one or more of the following:
- Development of specifications;
- Design;
- Test plan development;
- Testing and benchmarking."
Software Engineer,"Development of VisiQuest Software System,
multiplatform visual framework for advanced image/data manipulating."
Software Engineer,"Create programme database for the office and
shops' net."
Software Engineer,"- Programming and customization of ATM and POS Terminal software;
- Troubleshoot issues and make testing of new releases;
- Develop scenarios and scripts related with ATMs and POS terminals."
Software Engineer,"- Write and test code for the project;
- Write UNIX shell scripts for automated test system;
- Work productively as part of a software development team."
Software Engineer,"- Develop application programs;
- Participate in specific IT projects (programming part)."
Software Engineer,"- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software; 
- Perform assigned tasks in the precise and timely manner; 
- Document the software products that will be produced."
Software Engineer,"- Develop software for IC design;
- Work on routine problems with some guidance from senior level managers
and other engineers."
Software Engineer,"Work in close collaboration with the Project
Manager to understand the application requirements."
Software Engineer,"- Develop automated management system (applied software package) and
database;
- Provide and implement different programming services;
- Develop software according to requirements;
- Take part in gathering requirements;
- Take part in system architecture development;
- Participate in planning;
- Complete work according to deadlines;
- Take part in mentoring other developers professional skills."
Software Engineer,"- Develop software for IC design;
- Work on algorithmic problems."
Software Engineer,"- Build social networking application;
- Manage web based content and blogging tools."
Software Engineer,"- Perform software troubleshooting, reveal and repair software problems;
- Update the software, install patches and anti-spyware; 
- Perform virus cleaning and information recovery; 
- Install OS (Win2K, Win XP and Linux) and application software; 
- Set up and adjust network printers' software; 
- Configure e-mail, Internet and LAN settings on client computers;
- Configure wireless settings on client laptops; 
- Set up dial-up connection for home users;
- Consult staff/ users on software problems;
- Perform other related duties as assigned by the immediate supervisor."
Software Engineer,"- Develop Web Applications in accordance with given specification;
- Read, understand and modify the existing code;
- Provide technical support and assistance, if requested."
Software Engineer,"- Develop Web Applications in accordance with given Specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate with management and team members effectively."
Software Engineer,"- Work as part of a software development team;
- Design and analyze software applications;
- Develop applications using C# and other .NET languages;
- Write documentation in English language."
Software Engineer,"- Strong knowledge of Java and Servlet 2.2;
- Knowledge on one of the following relationship database management
systems: SQL Server 2000, My-SQL or Oracle 9i Enterprise;
- Work experience with XML, XSL, JSP 1.1, Apache +; 
- Work experience with Jakarta/ Tomcat is a plus;
- Be good in administration of site setting on a customer server,
configure web-services on remote server using ftp option as well."
Software Engineer,"- Develop Web Applications in accordance with given Specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Assist in the development of accompanying Technical Documentation;
- Provide technical support and assistance, if requested."
Software Engineer,"- Develop Web Applications in accordance with given Specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate with management and team members effectively."
Software Engineer,"- Develop Database Applications in accordance with given
specifications;
- Develop Web Applications in accordance with given specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Assist in the development of accompanying Technical Documentation;
- Provide technical support and assistance, if requested."
Software Engineer,"- Develop Database Applications in accordance with given
specifications;
- Develop Web Applications in accordance with given specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Assist in the development of accompanying Technical Documentation, if
requested;
- Provide technical support and assistance, if requested."
Software Engineer,"- Create innovative and elegant web designs to meet current business
needs;
- Develop websites with HTML and Java Script;
- Be responsible for given tasks and accomplish those on time;
- Work as part of a web development team;
- Have a command of current technology."
Software Engineer,"- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software; 
- Perform other related tasks as assigned in the precise and timely
manner; 
- Document the software products that will be produced."
Software Engineer,"- Learn and understand the AdServing technology (DART Enterprise) and
its functionality. Understand the surrounding systems and the system
architecture as it maps to the company's business needs;
- Act as an expert in customising and integrating the AdServer software.
Act as an expert regarding the architecture and functionality of our
AdServer system and have an excellent understanding of its technical
capabilities;
- Support the other teams working with the AdServing technology and be
their main technical contact for maintenance and new requirements."
Software Engineer,"- Develop Web Applications in accordance with given Specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate with management and team members effectively."
Software Engineer,"- Participate in Object Oriented Analysis/ Design;
- Write software based on specifications/ design;
- Test software."
Software Engineer,"- Perform software troubleshooting of the AUA Center computers and other
electronic equipment; 
- Reveal and repair software problems of the AUA Center computers and
other electronic equipment; 
- Install new software and update existing ones;
- Perform virus cleaning and information recovery; 
- Set up and adjust network printers software; 
- Set up dial-up connection for home users; 
- Provide consulting to staff/ users on software problems; 
- Perform management and programming of the AUA Center PBX system; 
- Manage AUA Center PBX tarification program;
- Perform maintenance of microphones, voice reproduction and
amplification as well as other special equipment in conference rooms; 
- Perform maintenance of simultaneous translation equipment in the
conference rooms; 
- Check headphones for proper operational conditions prior to the
special events/ examinations and ensure their control; 
- Provide technical support in showing movies and films; 
- Perform other duties as assigned by the immediate supervisor."
Software Engineer,"- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software; 
- Perform other related tasks as assigned in the precise and timely
manner;
- Document the software products that will be produced."
Software Engineer,"- Write PHP and JavaScript code;
- Work as part of a software development team;
- Read, understand and modify the existing code;
- Provide technical support and assistance, if requested."
Software Engineer,"- Develop software according to requirements;
- Complete work according to deadlines;
- Follow the team rules working on projects."
Software Engineer,"- Participate in software product development;
- Provide maintenance and support of existing software products."
Software Engineer,"- Participate in the new Web site creation;
- Support with programming the site and other products."
Software Engineer,"- Follow the software development processes established in
organization;
- Analyze business requirements and clearly understand functional
specifications;
- Develop architectural and software design based on functional
specifications;
- Provide time based estimates for software development activities;
- Provide implementations of software product according to
specifications;
- Debug and provide bug fixes according to bug reports;
- Communicate effectively with management and with team members;
- Keep commitments;
- Have a command of current technology;
- Actively participate in discussions regarding technical issues."
Software Engineer,"- Actively identify and implement tools, resources, new technologies and
innovations for the project;
- Work with designers, graphic artists and management in the development
of the project."
Software Engineer,"- Write PHP and JavaScript code;
- Work as part of a software development team;
- Read, understand and modify the existing code;
- Provide technical support and assistance, if requested."
Software Engineer,"- Develop software for IC design;
- Work on routine problems with some guidance from senior level managers
and other engineers."
Software Engineer,"- Write ASP.NET 2.0 based code;
- Write Web front interfaces;
- Work as part of a software development team;
- Read, understand and modify the existing code."
Software Engineer,"- Participate in Object Oriented Analysis/ Design;
- Write software based on specifications/ design;
- Test software."
Software Engineer,"- Software development according to requirements;
- Accomplish assigned work according to deadlines;
- Follow the team rules."
Software Engineer,"- Gather and produce requirements and designs;
- Write and test code for the required product;
- Work under general supervision; 
- Accurately plan software development activities and follow established
processes;
- Share knowledge, mentor peers, listen and hear team members
viewpoints and provide fair evaluation of differing opinions;
- Work productively as part of a software development team;
- Communicate effectively with management and with team members;
- Keep commitments;
- Have a good command of current technology;
- Actively participate in discussions regarding technical issues."
Software Engineer,"- Develop Web 2.0 applications for entertainment related products;
- Develop Rich Internet Applications;
- Accurately plan software development activities and follow established
processes;
- Communicate effectively with management and with team members;
- Report on particular tasks and procedures to project managers in USA
or Europe."
Software Engineer,"- Explore existing applications and code;
- Develop new web applications;
- Fix bugs and add new features to existing products."
Software Engineer,"- Work as a part of the software development team;
- Participate in Object Oriented analysis and design;
- Develop using Java, XML and other J2EE technologies;
- Write documentation in English language."
Software Engineer,"- Design and develop web applications either from scratch or based on
open source products;
- Provide technical support to production systems;
- Work with Project Managers, Quality Engineers, Systems Analysts and
other team members;
- Work as part of a distributed software development team;
- Read, understand and modify the existing code;
- Provide technical documentation with deliverables."
Software Engineer,"- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software; 
- Perform the assigned tasks in the precise and timely manner; 
- Document the software products that will be produced."
Software Engineer,"- Create innovative and elegant web designs to meet current business
needs;
- Construct websites with HTML, DHTML, Java Script;
- Develop high quality web tools using PHP/MySQL;
- Be responsible for the given tasks and accomplish them on time;
- Work as part of a web development team;
- Have a command of current technology;
- Provide maintenance and support for portals customers."
Software Engineer,"- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software; 
- Perform the assigned tasks in the precise and timely manner; 
- Document the software products that will be produced."
Software Engineer,"- Participate in software product development;
- Provide maintenance and support of existing software products."
Software Engineer,"- Develop software according to requirements;
- Participate in tasks estimation;
- Complete work according to deadlines;
- Take part in mentoring other developers professional skills."
Software Engineer,"- Write and develope new software;
- Work with existing software for web-based indexing company dealing in
agricultural products, consulting and services."
Software Engineer,"- Develop software according to requirements;
- Take part in gathering requirements;
- Participate in planning and architecture development;
- Complete work according to deadlines."
Software Engineer,"- Develop software according to requirements;
- Participate in meetings and discussions;
- Complete work according to deadlines."
Software Engineer,"- Write ASP.NET 2.0 based code;
- Write Web front interfaces;
- Work as part of a software development team;
- Read, understand and modify the existing code."
Software Engineer,"- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate with management and team members effectively."
Software Engineer,"- Develop Web Applications in accordance with given Specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate with management and team members effectively."
Software Engineer,"- Write PHP and JavaScript code;
- Work as part of a software development team;
- Read, understand and modify the existing code;
- Provide technical support and assistance, if requested."
Software Engineer,"- Develop various Windows, Web applications and Web services, based on
specifications written in English language;
- Create and maintain up to date complete documentation of owned
applications (block diagrams, algorithm descriptions etc.);
- Create effective test cases and create or use existing tools to test
owned applications;
- Communicate with management and team members effectively (at least
some knowledge of verbal English language); 
- Be a technical leader for junior programmers."
Software Engineer,"- Write .NET 2.0 based code (C#, ASP.NET);
- Work as part of a software development team;
- Read, understand and modify the existing code."
Software Engineer,"- Participate in the new Web sites creation;
- Program and develop the Web IT systems, sites and other products using
Object Oriented Programming concepts; 
- Test and currently maintain the developed Web IT systems, sites and
other products for proper functionality and secure;
- Create/adapt rapidly and continuously the ""template based"" web sites;
- Develop, maintain and manage hosting systems including the mail, SIP
and streaming."
Software Engineer,"- Participate in software product development;
- Provide maintenance and support of existing software products."
Software Engineer,"- Leverage his/her knowledge in software design and implementation to
develop J2EE web-based applications;
- Design and code software components for J2EE Web Applications;
- Be responsible for development of high performance and scalable
solutions;
- Interact with technical managers to facilitate the smooth flow of all
technical information;
- Interact and train QA engineers in all technical aspects of the
projects."
Software Engineer,"- Work as a part of team on Web and Windows applications based on .Net
framework;
- Provide necessary documentation and reports;
- Propose and document technical solutions for the given task."
Software Engineer,"- Write C#, VB and JavaScript code (using .NET 2.0, 1.1);
- Write store procedures, triggers, view SQL code;
- Work as part of a software development team;
- Read, understand and modify the existing code;
- Develop software and database architecture and technical
documentation;
- Provide technical support and assistance, if requested;
- Work as a part of team on Web and Windows applications based on .Net
framework;
- Provide necessary documentation and reports in English language;
- Propose and document technical solutions for the given task;
- Implement code team software engineers code revision;
- Evaluate team software developers technical solutions."
Software Engineer,"- Work as a part of team, developing Unix based multithread
applications;
- Provide necessary documentation and reports;
- Communicate with customers, providing necessary technical support for
installed products."
Software Engineer,"- Design, code, and document custom software solutions which include
database models, software architecture, process flow, and web
navigation;
- Produce and maintain accurate documentation and code comments on all
aspects of the software architecture;
- Develop common design patterns and document best practices that enable
consistent architecture."
Software Engineer,"Develop software for IC design on C++ under
Linux."
Software Engineer,"Develop software for IC design on C++ under
Linux."
Software Engineer,"- Develop software according to requirements;
- Participate in tasks estimation;
- Complete work according to deadlines;
- Take part in mentoring other developers professional skills."
Software Engineer,"Develop software for IC design on C++ under
Linux."
Software Engineer,"Develop software for IC design on C++ under
Linux."
Software Engineer,"- Participate in application design; 
- Provide necessary technical and design documentation;
- Communicate effectively with local management and external team
members;
- Develop applications according to technical documentation; 
- Develop test cases;
- Install and configure necessary environment for the developed
applications. Provide support in web servers, databases and applications
maintenance."
Software Engineer,"Develop software for IC design on C++ under
Linux."
Software Engineer,"- Develop software according to project plans;
- Complete work according to deadlines."
Software Engineer,"- Apply specialist expertise in the development of IT systems with the
objective of optimising operational performance and improving quality
whilst increasing cost-effectiveness; 
- Prepare detailed specifications that describe input, output, and
logical operation, and convert them into a series of instructions coded
in a computer language; 
- Write, analyze, review, and rewrite programs to departmental and HSBC
Group standards; 
- Conduct trial runs of programs and software applications to be sure
they will produce the desired information and that the instructions are
correct; 
- Compile and write documentation of program development and subsequent
revisions, insert comments in the coded instructions so others can
understand the program; 
- Provide estimates for development effort from design documents; 
- Write or contribute to instructions or manuals to guide end users; 
- Update computer programs to increase operating efficiency or adapt to
new requirements; 
- Review code and documentation to ensure code meets the design criteria
and work is of an acceptable quality; 
- Develop a good level of understanding of the appropriate business
systems of the Group and their associated IT development requirements; 
- Consult with relationship management to clarify program intent,
identify problems, and suggest changes; 
- Investigate live systems faults, diagnose problems and propose and
provide solutions; 
- Provide out of hours support to existing systems."
Software Engineer,"Design, develop and maintain a coplex suite of
CAD software for Mask data preparation."
Software Engineer,"- Participate in all the steps of the software project, from design to
integration;
- Analyze and investigate architectural defects of existing projects;
- Impelement features;
- Fix problems."
Software Engineer,"- Be responsible for possible operational and technical management of
the Yerevan branch;
- Manage software projects unrelated to clients: improve existing
software, design and develop new solutions;
- Design and complete models and prototypes;
- Be responsible for optional management of projects for clients
(specific developments);
- Be responsible for technological watch."
Software Engineer,"- Be responsible for operational and technical management of the Yerevan
branch 
- Manage software projects unrelated to clients: improve existing
software, design and develop new solutions;
- Design and complete models and prototypes;
- Be responsible for optional management of projects for clients
(specific developments);
- Be responsible for technological watch."
Software Engineer,"- Work as a part of team, developing Unix based multithread
applications;
- Provide necessary documentation and reports;
- Communicate with customers, providing necessary technical support for
installed products."
Software Engineer,"- Develop software according to requirements;
- Participate in tasks estimation;
- Complete work according to deadlines;
- Take part in mentoring other developers professional skills."
Software Engineer,"- Participate in all the steps of the software project, from design to
integration;
- Analyze and investigate architectural defects of existing projects;
- Impelement features;
- Fix problems."
Software Engineer,"- Design and develop desktop and web-based applications;
- Work on products technical choice and specifications;
- Ensure weekly rapports on the projects;
- Prepare testing and technical documentation."
Software Engineer,"- Plan, develop and implement IT solutions to operational challenges;
- Report to management about the works accomplished and the existing
problems;
- Cooperate with local and international IT providers and contractors;
- Provide software and hardware servicing of the computer and server
systems;
- Consult in general use of office applications;
- Maintain and troubleshoot network, software and hardware;
- Be responsible for uninterruptible operating conditions of systems
used in the company;
- Provide users with accesses to network and systems, and make necessary
modifications in all systems;
- Be responsible for the antivirus protection activities;
- Be responsible for information back-up and archiving on servers and
computers."
Software Engineer,"- Participate in application design; 
- Provide necessary technical and design documentation;
- Communicate effectively with local management and external team
members;
- Develop applications according to technical documentation; 
- Develop test cases;
- Install and configure necessary environment for the developed
applications. Provide support in web servers, databases and applications
maintenance."
Software Engineer,"- Learn and develop IBM Cobol applications; 
- Update source codes; 
- Be responsible for testing; 
- Calculate financial models and perform mortgage calculations; 
- Work productively as part of a software development team."
Software Engineer,"- Research new technologies and introduce those into working systems;
- Change and monitor functioning software;
- Build software modules and troubleshoot those."
Software Engineer,"- Perform software troubleshooting, reveal and repair software problems;
- Update the software, install patches and anti-spyware;
- Perform virus cleaning and information recovery;
- Install OS (Win2K, Win XP, Linux) and application software;
- Set up and adjust network printers software; 
- Configure e-mail, Internet, LAN settings on client computers;
- Configure wireless settings on client laptops; 
- Set up dial-up connection for home users;
- Consult staff/users on software problems;
- Perform other related duties as assigned by the immediate supervisor."
Software Engineer,"Design new algorithms or apply known ones to
solve practical tasks arising."
Software Engineer,"- Develop Windows application using Java; compose GUI components
(windows, panels, text fields, etc.) following the given design
standards and software architecture, write and read XML using known
parsers;
- Develop Web applications in accordance with given specifications
(desired but not necessary skill);
- Assure full conformance of source codes to provided Coding standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate with management and team members effectively."
Software Engineer,"- Be efficient in the use of memory and CPU time;
- Employ a good code writing style that includes sufficient comments;
- Design and build the software systems;
- Update/write technical documentation on codes and algorithms;
- Draw class diagrams and flowcharts describing codes and algorithms;
- Work productively as a key member of a software development team;
- Actively participate in discussions regarding technical issues;
- Ability to learn and apply new technologies;
- May have to travel to USA to work with team members."
Software Engineer,"Perform enhancements to existing programs and
create new ones."
Software Engineer,"-	Participate in application design; 
-	Provide necessary technical and design documentation;
-	Communicate effectively with local management and external team
members;
-	Develop applications according to technical documentation; 
-	Develop test cases;
-	Install and configure necessary environment for the developed
applications; 
-       Provide support in web servers, databases and applications
maintenance."
Software Engineer,"- Develop Web application with Java;
- Ability to develop high quality and clean code, apply proper language
constructions and use quality algorithms."
Software Engineer,Develop Web application with PHP.
Software Engineer,"- Participate in all the steps of the software project, from design to
integration;
- Analyze and investigate architectural defects of existing projects;
- Impelement features;
- Fix problems."
Software Engineer,"- Develop Web application; following the given design standards and
software architecture, write and read XML using known parsers;
- Assure full conformance of source codes to provided Coding standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate with management and team members effectively."
Software Engineer,"- Develop Web application with Java;
- Ability to develop high quality and clean code, apply proper language
constructions and use quality algorithms."
Software Engineer,"- Develop software according to requirements;
- Participate in tasks estimation;
- Complete work according to deadlines;
- Take part in mentoring other developers professional skills."
Software Engineer,"-	Participate in application design; 
-	Provide necessary technical and design documentation;
-	Communicate effectively with local management and external team
members;
-	Develop applications according to technical documentation; 
-	Develop test cases;
-	Install and configure necessary environment for the developed
applications; 
-       Provide support in web servers, databases and applications
maintenance."
