title,description
UI/UX Engineer,"Graphic Designer will be responsible for every
graphical development of our software and websites; from general user
interface to product packaging including user guide documentation; will
assist the marketing and communication team to develop the corporate
material for the group and its subsidiaries; will also create marketing
presentations for both in-house and client projects."
UI/UX Engineer,"- Design of company production packaging;
- Preparation and design of promotional and related electronic/ print
materials;
- Design and development of advertisement/ promotional tools."
UI/UX Engineer,"- Communication of major design decisions and issues;
- Deep knowledge in design tools & techniques;
- Production of concept design documents;
- Working with Technical, Art and Audio leads;
- Playing the game and insuring it is fun;
- Previous experience in games industry is a plus;
- Role will involve game design (concept, graphics) and level design."
UI/UX Engineer,"- Produce concept design documents;
- Work with Technical, Art and Audio leads;
- Play the game and insure it is fun;
- Role will involve game design (concept, graphics) and level design."
UI/UX Engineer,"- Produce concept design documents;
- Perform various tasks with Photoshop and Corel Draw."
UI/UX Engineer,"- Communicate with clients;
- Create ideas;
- Design published materials."
UI/UX Engineer,"- Discuss the requirements for the designs either with the Senior
Executive responsible for the project implementation or the client;
- Develop design ideas;
- Prepare draft versions of the artwork and layout;
- Discuss ideas with the client and make necessary changes;
- Use computer for variety of tasks;
- Perform other duties as assigned."
UI/UX Engineer,"- Design and prepare materials for print production, including banners,
magazine ads and brochures, etc.;
- Design and produce branding elements, such as logos and promotional
materials, etc.;
- Make page proofing for print production materials;
- Create graphic elements for websites."
UI/UX Engineer,"Develop and design the aesthetics, visual design
and/ or layout of product artwork, component design to enhance product
image."
UI/UX Engineer,"- Design Web Application Interface and graphical items;
- Develop end-user navigation;
- Work as part of a software development team;
- Communicate with management and team members effectively."
UI/UX Engineer,"- Prepare illustrations or rough sketches of material, discussing them
with clients and/or supervisors and make necessary changes;
- Study illustrations and photographs to plan presentation of materials,
products, or services;
- Prepare notes and instructions for workers who assemble and prepare
final layouts for printing;
- Create designs, concepts, and sample layouts based on knowledge of
layout principles and esthetic design concepts;
- Determine size and arrangement of illustrative material and copy, and
select style and size of type;
- Draw and print charts, graphs, illustrations, and other artwork, using
computer;
- Review final layouts and suggest improvements as needed;
- Confer with clients to discuss and determine layout design;
- Develop graphics and layouts for product illustrations, company logos,
and Internet websites;
- Think creatively to produce new ideas;
- Interprete the client's business needs;
- Multi-task: graphic designers often work on more than one design brief
at a time;
- Use innovation to redefine a design brief and meet the constraints of
cost, time and client;
- Work well in a team, with printers, copywriters, photographers, other
designers, account Executives, website designers and marketing
specialists;
- Produce accurate and high quality work;
- Work to tight deadlines;
- Create and produce various brochures, advertisements, marketing
campaigns; 
- Develop new creative strategies for various products, advertising, or
marketing campaigns, and accomplish certain aspects of those campaigns;
- Edit and proof all printed and distributed communications;
- Assist in web page design, icon design, creative themes for events,
and provide input on the overall corporate image;
- Monitor logo usage, responsible for all press checks and bidding
processes;
- Participate in special projects and perform other duties as required."
